comment,clean_comment
Ini yg ngantuk itu ya?,ini yg ngantuk itu ya
"Saking random nya, orang meeting dikomentarin 😂",saking random nya orang meeting dikomentarin
yak terpantau buzzerp organik sedang memuji2 respect dan semangat😂👍🏻,yak terpantau buzzerp organik sedang memuji respect dan semangat
Coki manggil nya Lo gue Lo gue njirr ngeri😂,coki manggil nya lo gue lo gue njirr ngeri
😂😂😂,
Olah terus bang coki,olah terus bang coki
"immick gini kalo kerjanya bener mah oke2 aja, lah ini 🤣🤣🤣🤣🤣🤣🤣",immick gini kalo kerjanya bener mah oke aja lah ini
Goks si dua pria terkemuka bisa berbicara dengan bos besar muda 😁🔥🔥🔥,goks si dua pria terkemuka bisa berbicara dengan bos besar muda
"tolong bbang sampein terkait MBG itu mmasalahnya bukan meratanya tapi akhir akhir ini menunnya makin aneh, padahal lokasi ga jauh dari ibu kota tapi menunya kadang mie sama kripik tempe, buahnya salah. kadang keentang mentah. dimana anak anak pada kurang doyan juga",tolong bbang sampein terkait mbg itu mmasalahnya bukan meratanya tapi akhir akhir ini menunnya makin aneh padahal lokasi ga jauh dari ibu kota tapi menunya kadang mie sama kripik tempe buahnya salah kadang keentang mentah dimana anak anak pada kurang doyan juga
Ga nanggapi konteks sama sekali wkwk,ga nanggapi konteks sama sekali wkwk
"Roasting via mens rea ❌️
Roasting depan manusianya ✅️
Ajg bener duo musmas ini😂😂😂😂",roasting via mens rea roasting depan manusianya ajg bener duo musmas ini
4:20 Tretan anj😂😂😂,tretan anj
Tapi dia gak marah ya,tapi dia gak marah ya
"Lepaskan itu semua gibran, kami tau anda sedang menahan jokes untuk diungkapkan",lepaskan itu semua gibran kami tau anda sedang menahan jokes untuk diungkapkan
Mutan baru kah ?,mutan baru kah
Mau tau tanggapan pak gibran tentang fufufafa pls,mau tau tanggapan pak gibran tentang fufufafa pls
Njir kocak ini😂😂😂😂,njir kocak ini
Ini yang gue tungguuuu😂😂😂😂,ini yang gue tungguuuu
Dah ponakan gua salah satunya pemasok PVC di pembangunan IKN🕺,dah ponakan gua salah satunya pemasok pvc di pembangunan ikn
Yang melaporkan bang pandji goblok ..mangan pkc PMII jakarta.. goblok sekali PMII,yang melaporkan bang pandji goblok mangan pkc pmii jakarta goblok sekali pmii
Kurang lama durasinya?,kurang lama durasinya
"Walaupun saya gak pilih anda saat pilpres tapi anda mas gibran adalah wapres paling keren dari semua wapres indonesia, sangat santai menyikapi kritik lewat comedy yg merendahkan dirinya. Keren sampeyan mas wapres 🙏",walaupun saya gak pilih anda saat pilpres tapi anda mas gibran adalah wapres paling keren dari semua wapres indonesia sangat santai menyikapi kritik lewat comedy yg merendahkan dirinya keren sampeyan mas wapres
"Salut buat bg muslim dan bang coki 
Panji koar2 kesel karna susah datengin pak wapres
Ini malah langsung datengin wapres bg muslim sama bg cokinya
Respect aku
Aku yakin dlm hati panji sekarang ngumpat2 karna kalian bisa datengin pak wapres😅",salut buat bg muslim dan bang coki panji koar kesel karna susah datengin pak wapres ini malah langsung datengin wapres bg muslim sama bg cokinya respect aku aku yakin dlm hati panji sekarang ngumpat karna kalian bisa datengin pak wapres
Wahai pria solo alangkah jantannya anda kalo berani datang ke skakmat pandji😊,wahai pria solo alangkah jantannya anda kalo berani datang ke skakmat pandji
"Saya mengakui keluarga ini bener-bener menerapkan filosofi jawa "" dipangku mati "" rasa sakit hatinya di balut dengan tenang sehingga yang membuat di sakit hati merasa tidak enak dan malu sendiri, akhirnya dia dapat simpati banyak orang,,, tp ini konten lucu bgt, tretan dan om coki memang handal",saya mengakui keluarga ini benerbener menerapkan filosofi jawa dipangku mati rasa sakit hatinya di balut dengan tenang sehingga yang membuat di sakit hati merasa tidak enak dan malu sendiri akhirnya dia dapat simpati banyak orang tp ini konten lucu bgt tretan dan om coki memang handal
"Tanya bang, kalau saya comen Gibran anjing boleh ga ??",tanya bang kalau saya comen gibran anjing boleh ga
Di flashdisk polisi kata si bangsat😂,di flashdisk polisi kata si bangsat
"Sat, di Bebek Carok",sat di bebek carok
"Ini orang di berita ga jelas kasih info, di podcast jurang gini malah beres jelasinnya cok, anomali emang 😂",ini orang di berita ga jelas kasih info di podcast jurang gini malah beres jelasinnya cok anomali emang
1:26 Roasting Raja Terakhir SATTTTT!!!!!!!!,roasting raja terakhir sattttt
Baru tau stand up termul ternyata ada yah,baru tau stand up termul ternyata ada yah
"The next mut??? , mutakhir alias AI maksudnya 😅",the next mut mutakhir alias ai maksudnya
"dipantau owner, 1 influencer besar, wapres, dan beberapa paspampres. saya sangat paham bagaimana pressure yang dialami mas bagas wkwkwk",dipantau owner influencer besar wapres dan beberapa paspampres saya sangat paham bagaimana pressure yang dialami mas bagas wkwkwk
UDAH GILAK HAHAHA,udah gilak hahaha
Ilmu tinggi kali kau gibran wak,ilmu tinggi kali kau gibran wak
Mana jokes pinggir jurangnya hey.. apakah antum antum ngejokes di todong AK 47…😂,mana jokes pinggir jurangnya hey apakah antum antum ngejokes di todong ak
Mutan baru kah...,mutan baru kah
"tanya dong bang
itu jadwal ama tedy gantian ngga",tanya dong bang itu jadwal ama tedy gantian ngga
Anjir ngomongin sawit co,anjir ngomongin sawit co
"IKN mangkrak, food estate gagal, tapi sekarang katanya fokus percepat pembangunan di papua. HAH...",ikn mangkrak food estate gagal tapi sekarang katanya fokus percepat pembangunan di papua hah
"Kesalahan Gibran adalah dia dipaksa untuk jadi wapres sebelum waktunya. Kalau dia mengikuti jenjang karir seperti bapak nya, mungkin akan lebih baik.
Tapi apa mau di kata, dia harus jadi wapres agar Prabowo bisa jadi Presiden",kesalahan gibran adalah dia dipaksa untuk jadi wapres sebelum waktunya kalau dia mengikuti jenjang karir seperti bapak nya mungkin akan lebih baik tapi apa mau di kata dia harus jadi wapres agar prabowo bisa jadi presiden
"Ini bukan s3 marketing lg sh.. edaaaaan bener dah, wapres bisa di bawa ke bebek carok!! RESPECT…!!! 🫡",ini bukan s marketing lg sh edaaaaan bener dah wapres bisa di bawa ke bebek carok respect
Buat trio aja udah,buat trio aja udah
FUFUFAFA aktif lagi nih yeeeee,fufufafa aktif lagi nih yeeeee
"""pengirimannya..delivery nya..."" Chaaakkkzzz sama aja beda tulisan",pengirimannyadelivery nya chaaakkkzzz sama aja beda tulisan
"Santai...
Tapi dibelakang ternaknya disuruh hajar😅😅😅",santai tapi dibelakang ternaknya disuruh hajar
Coba masukin ke club mutan 😂,coba masukin ke club mutan
ANJIR KU KIRA AI NJIR DI IG WKWKKW,anjir ku kira ai njir di ig wkwkkw
Fufufafa,fufufafa
biar digimanain juga dipodcasin dibikinin akun yutub emang wapres konoha udah ga ada isinya,biar digimanain juga dipodcasin dibikinin akun yutub emang wapres konoha udah ga ada isinya
"Teretan banget, coki bangke😂 , (kata saya) gila bener nyerempet² nya",teretan banget coki bangke kata saya gila bener nyerempet nya
12:42,
"saya dlu suka sm masgib, dan jujur ngedukung beliau jadi pemimpin muda di suatu daerah.  tapi ken berbagai macam hal, kayanya saya ntar dlu deh hehe. sehat2 masgib, semoga bisa membawa banyak kebaikan. jangan ditambah2in kalo ada yg buruk",saya dlu suka sm masgib dan jujur ngedukung beliau jadi pemimpin muda di suatu daerah tapi ken berbagai macam hal kayanya saya ntar dlu deh hehe sehat masgib semoga bisa membawa banyak kebaikan jangan ditambahin kalo ada yg buruk
"Next episode datangkan bapaknyaaa, pasti lebih asik.",next episode datangkan bapaknyaaa pasti lebih asik
Respect mas wapres,respect mas wapres
Heran orang yang berakal dukung otang TOLOL !!!!,heran orang yang berakal dukung otang tolol
"Pertanyaan paling susah di jawab. Dan jujur, kok si tretan kepikiran roy suryo vs panji lucuan mana 😂😂
Mas wapres kok kepikiran Counter attack ada sertifikat halalnya
🤣",pertanyaan paling susah di jawab dan jujur kok si tretan kepikiran roy suryo vs panji lucuan mana mas wapres kok kepikiran counter attack ada sertifikat halalnya
Berati coki & muslim setara kick andy dan najwa,berati coki muslim setara kick andy dan najwa
Stop detik ke 8. Sebenarnya ini adl jawaban mens rea. Tentu saja coki muslim ada di kubu Pak Gib,stop detik ke sebenarnya ini adl jawaban mens rea tentu saja coki muslim ada di kubu pak gib
11:51 pa mbg saya ikan mulu,pa mbg saya ikan mulu
Mana Bagas,mana bagas
"coki, tahan cokiii. tahaaan woawkawokwokwoawko",coki tahan cokiii tahaaan woawkawokwokwoawko
pria solo itu lagi...,pria solo itu lagi
Uji nyali 😂😂,uji nyali
ini konten AI taa cakkk😅,ini konten ai taa cakkk
"emang harus kreatif jadi buzzer jaman sekarang, dan memang menghibur",emang harus kreatif jadi buzzer jaman sekarang dan memang menghibur
Anak solo itu lagi,anak solo itu lagi
"APAPUN YANG DI LAKUKAN MAS WAPRES AKAN SELALU SALAH DI MATA PENIS:PENDUKUNG A NICE 😂
APALAGI DI MATA TIRORIS  DAN PENYEPONG NYA 😂",apapun yang di lakukan mas wapres akan selalu salah di mata penispendukung a nice apalagi di mata tiroris dan penyepong nya
ah mungkin perasaanku saja...,ah mungkin perasaanku saja
AI ga sih yg di tengah?,ai ga sih yg di tengah
se gak sibuk itukah wapres. masih sempet podcast njirrrr. kerjaan idaman gen z,se gak sibuk itukah wapres masih sempet podcast njirrrr kerjaan idaman gen z
Dude!!!!Jokes apa ini dawg💀,dudejokes apa ini dawg
Ketawanya ditahan banget bang coki 😅,ketawanya ditahan banget bang coki
"jadi ingat martabak ""markobar""",jadi ingat martabak markobar
Jirr baru ini wapres d becandain 😅😂😅😂 lucu bngt,jirr baru ini wapres d becandain lucu bngt
Topik fufufafa gak dibahas ?? Blokk,topik fufufafa gak dibahas blokk
Penggiringan opini....,penggiringan opini
Paspampres siaga 1 😅,paspampres siaga
What Surakarta man😮,what surakarta man
"ini kami yang nonton kira² aman ga bang? 
kok ikutan takut... lama² gua jual juga ni hp😮",ini kami yang nonton kira aman ga bang kok ikutan takut lama gua jual juga ni hp
gibran mending jadi komika aja deh 😭😭,gibran mending jadi komika aja deh
Woeeee dimana MBG yg pake sirip hiu??? Ahli gizinya gimana 😂😂😂😂😂,woeeee dimana mbg yg pake sirip hiu ahli gizinya gimana
seseorang sedang menurunkan sesuatu yg udh turun,seseorang sedang menurunkan sesuatu yg udh turun
Panii itu gblk mksa ngelawak pdhl otak seupil jdinya mlah ngolok2 ngehina org komedi otak rendah,panii itu gblk mksa ngelawak pdhl otak seupil jdinya mlah ngolok ngehina org komedi otak rendah
SAMPAH,sampah
Perasaan gw ga enak… ternyata mereka yg minta di tampilkan ada bebek yg digantung ?? 😱😱,perasaan gw ga enak ternyata mereka yg minta di tampilkan ada bebek yg digantung
Jokesnya pedassss anjirrr😂,jokesnya pedassss anjirrr
Sumpah sumpah ini asik bnget,sumpah sumpah ini asik bnget
Mau dipoles sehalus apapun gua gabakal lupa kalian bagian dari pemerintah,mau dipoles sehalus apapun gua gabakal lupa kalian bagian dari pemerintah
Cair,cair
Santai banget anjir wkwkwk..kek temen nongkrong ya,santai banget anjir wkwkwkkek temen nongkrong ya
gibran❤,gibran
Gibran sabar banget yaa luar biasa ❤,gibran sabar banget yaa luar biasa
"Saya hitung Gibran ngomong ""SANTAI"" 581 kali",saya hitung gibran ngomong santai kali
Gua yang ngilu cokk aslii 😂😂,gua yang ngilu cokk aslii
"Ketika tretan diem,ak nunggu jokes yg menohok....",ketika tretan diemak nunggu jokes yg menohok
Blok.! Promo jalur wapres,blok promo jalur wapres
anjirrr... bisaaan ngundang nara sumber paling VALID WKWKWKWKWK,anjirrr bisaaan ngundang nara sumber paling valid wkwkwkwkwk
kirain thumbnail doang njir ,kirain thumbnail doang njir
Waduh yg mengatasnamakan membela pak gibran sih kocak wkwk orangnya selow2 aja,waduh yg mengatasnamakan membela pak gibran sih kocak wkwk orangnya selow aja
Loh.. Fufu fafa,loh fufu fafa
Recal recal di depan atmint loh ya,recal recal di depan atmint loh ya
Bg tretan dan mas cok ke logika frimawan juga keren kek nya ni mas wapres 😅😅,bg tretan dan mas cok ke logika frimawan juga keren kek nya ni mas wapres
"Keren mas Gibran, dibalas dengan santai dan ga baperan 😂
Semangatt mas Gibran 👍",keren mas gibran dibalas dengan santai dan ga baperan semangatt mas gibran
"Babi babi mau aja lagi coleb sama org berdua ini, gmna ya kesannya wakil presiden loh ini di Ceng cengin gila gila, mau aja lagi Gibran nya",babi babi mau aja lagi coleb sama org berdua ini gmna ya kesannya wakil presiden loh ini di ceng cengin gila gila mau aja lagi gibran nya
"Gibran ini sebenarnya asik2 aja, asal ga jadi pejabat karena bukan kapasitasnya",gibran ini sebenarnya asik aja asal ga jadi pejabat karena bukan kapasitasnya
Baru kali ini konten Tahan Sabar rada anu. Tanya soal Fufufafa harusnya 🤭,baru kali ini konten tahan sabar rada anu tanya soal fufufafa harusnya
"18 menit jawabanya cmn “santai” “aman” + pertanyaannya tidak mewakili banyak pengangguran yg sedang menunggu 19jt lapangan pekerjaan, fix ini mah sales coyyy",menit jawabanya cmn santai aman pertanyaannya tidak mewakili banyak pengangguran yg sedang menunggu jt lapangan pekerjaan fix ini mah sales coyyy
Ini masih receh dan settingan coba dong roasting Gibran dengan dilihat 10 RB penonton dan yg roasting pandji.. mentalnya pasti down,ini masih receh dan settingan coba dong roasting gibran dengan dilihat rb penonton dan yg roasting pandji mentalnya pasti down
bu Irma Chaniago menangis melihat mereka.😂😂,bu irma chaniago menangis melihat mereka
Respect Pak Wapres. 😁,respect pak wapres
"Yuk buzer sebelah ngumpul, biar pada panas kupingnya haaa😂😂😂",yuk buzer sebelah ngumpul biar pada panas kupingnya haaa
Emang kurang kerjaan ya dia.. Wkwkwwkk,emang kurang kerjaan ya dia wkwkwwkk
WKWWKKWKWKW,wkwwkkwkwkw
Ini pasti AI..... Chaaaaaakkks...,ini pasti ai chaaaaaakkks
Ngakak,ngakak
Abang Coki nyomot Tahunya mas gibran biar kalo ada racun dia yang kena duluan.,abang coki nyomot tahunya mas gibran biar kalo ada racun dia yang kena duluan
"Yang kemarin bilang wapres kita plonga plongo mana nih? Liat tuh cair bgt ngobrol nya, lancar bgt, makanya jgn kasih topik yg berat2.",yang kemarin bilang wapres kita plonga plongo mana nih liat tuh cair bgt ngobrol nya lancar bgt makanya jgn kasih topik yg berat
"Pak gibran memang dari dulu penikmat joke nya pandji , btt",pak gibran memang dari dulu penikmat joke nya pandji btt
udah kampanye lagi aje 😂😂😂,udah kampanye lagi aje
Jokes tepi jurang ❌ jokes dalem jurang ✅,jokes tepi jurang jokes dalem jurang
"wow ini,,, nyimak",wow ini nyimak
Cair cair caiiiir perpanjangan kontrak 😍,cair cair caiiiir perpanjangan kontrak
Ini benerrr??????,ini benerrr
jir kupikir AI😭😭😭,jir kupikir ai
"Coki muslim the real pembela 😂. Mas gibran top banget sih emang, gak salah doi jadi wapres ❤",coki muslim the real pembela mas gibran top banget sih emang gak salah doi jadi wapres
Pria Oslo (lain) itu lagi 💀,pria oslo lain itu lagi
Langsung ngudang admin 😭,langsung ngudang admin
Bukan dibercandain..lebih ke dihina,bukan dibercandainlebih ke dihina
Masih ada gestur atasan ama bawahan dialognya payah wkwk,masih ada gestur atasan ama bawahan dialognya payah wkwk
Baru kali ini RI2 (Wapres) di undang hanya untuk membahas komedi dan pembahasan receh bukan tentang ide☠️,baru kali ini ri wapres di undang hanya untuk membahas komedi dan pembahasan receh bukan tentang ide
Senyum Tipis nya Ngeselin Ya  🤣,senyum tipis nya ngeselin ya
"BENAR KATA CING ABDEL:  
""JOKOWI KELEWATAN""
 ANAK DIWARISI JABATAN, 
RAKYAT DIWARISI HUTANG 😂😂",benar kata cing abdel jokowi kelewatan anak diwarisi jabatan rakyat diwarisi hutang
Gak jilat gak makan ya?,gak jilat gak makan ya
Kontol dikasih panggung. Demi elektabilitas. Demi kroni. Demi 2029. Dua komika kontol ini tak sadar dia adalah korban dengan segala konsekuensi politik ke depan.,kontol dikasih panggung demi elektabilitas demi kroni demi dua komika kontol ini tak sadar dia adalah korban dengan segala konsekuensi politik ke depan
Ke tretan dateng. Coba dateng ke channelnya panji dong. Biar bener dapet ngobrol dan saling kritik. Biar masukannya panji bisa diadopsi.,ke tretan dateng coba dateng ke channelnya panji dong biar bener dapet ngobrol dan saling kritik biar masukannya panji bisa diadopsi
JOKOWI KUALAT KARENA MENGHALALKAN SEGALA CARA DEMI ANAKNYA BERKUASA 😡😡,jokowi kualat karena menghalalkan segala cara demi anaknya berkuasa
Bruh gua nonton ini sampe lupa klo gibran tuh seorang wapres akwkwk,bruh gua nonton ini sampe lupa klo gibran tuh seorang wapres akwkwk
entah apa amalan orang tua muslim sehingga bisa membanggakan keluarganya di kampung karena circlenya RI 2 😂,entah apa amalan orang tua muslim sehingga bisa membanggakan keluarganya di kampung karena circlenya ri
"Para seniman meme , kami tunggu sticker dari kalian🗿",para seniman meme kami tunggu sticker dari kalian
"Woi.... Wapress,, gak punya kerjaan,, ikut podcast. Blokssss!!!!!!!!",woi wapress gak punya kerjaan ikut podcast blokssss
"Wah memang bgst coki muslim sih, karna dr dlu jg udh hubungan sih jd bisa ngundang dia lg walau udh jdi WAKIL PRESIDEN WKWKKWKWKWKW 😭🤣",wah memang bgst coki muslim sih karna dr dlu jg udh hubungan sih jd bisa ngundang dia lg walau udh jdi wakil presiden wkwkkwkwkwkw
Big respect tuk mas wapres,big respect tuk mas wapres
Bro 💀 rikol rikol di depan final bos,bro rikol rikol di depan final bos
"Ini beneran gak sih, 
apa Ai? 
Serius naya😂😂",ini beneran gak sih apa ai serius naya
"Ini hebatnya keluarga pak Jokowi, taktik nya sulit ditebak, main nya slow tapi nendang 😅👌gw respect dan tanpa berpihak siapaun.",ini hebatnya keluarga pak jokowi taktik nya sulit ditebak main nya slow tapi nendang gw respect dan tanpa berpihak siapaun
Itu makanan dan minuman sudah di cobain Paspampres ya Netijen...,itu makanan dan minuman sudah di cobain paspampres ya netijen
Keren Gibran,keren gibran
"Kesimpulannya mas gibran nerima di roasting gapapa katanya , tapi kalo untuk lupa tidak 2019- 2026 berarti melekat banget itu 😂😂😂",kesimpulannya mas gibran nerima di roasting gapapa katanya tapi kalo untuk lupa tidak berarti melekat banget itu
"mana sertifikat halal tolong di perlihatkan ke camera, wkwk kenak bangat",mana sertifikat halal tolong di perlihatkan ke camera wkwk kenak bangat
Para tetua buzzer lagi pada kumpul,para tetua buzzer lagi pada kumpul
Yang menyampaikan berita negatif adalah komika ini lah..😂😂😂😂,yang menyampaikan berita negatif adalah komika ini lah
woee coki sumpah parah🤣,woee coki sumpah parah
"Didepan wapress, dia ngomongnya cak cok, blak blokk 😂😂😂",didepan wapress dia ngomongnya cak cok blak blokk
fufufafa ANAK HARAM KONSTITUSI,fufufafa anak haram konstitusi
Lebih parah dari mens rea ga sih😅,lebih parah dari mens rea ga sih
Emang beneran balas dendam yang epic adalah berbuat baik...,emang beneran balas dendam yang epic adalah berbuat baik
Pas IKN kok kayaknya atmosfernya dingin ya 😅😅😅😅,pas ikn kok kayaknya atmosfernya dingin ya
"wakil presiden ini, Haha , kelas mas gibran",wakil presiden ini haha kelas mas gibran
keren 😂,keren
"Dia ga sadar , dengan ketawanya coki,,, 😅😅😅😅😅😅",dia ga sadar dengan ketawanya coki
41 sppg punya anak dprd gmn tuh,sppg punya anak dprd gmn tuh
Gw malah ngakakkk,gw malah ngakakkk
"Panji panji level lo di hancur kan sama dua org ini..  Satu indonesia nonton ini 
😂😂😂 respec buat muslim sm chokii Jentleman 
Masih masuk kalo lo berkomedi kaya ini panji 
..",panji panji level lo di hancur kan sama dua org ini satu indonesia nonton ini respec buat muslim sm chokii jentleman masih masuk kalo lo berkomedi kaya ini panji
Nah gini dong kalo roasting depan mukanya langsung 😂😂,nah gini dong kalo roasting depan mukanya langsung
