comment,clean_comment,sentiment
Satttt 😅😅😅. Roasting ter........kasian woy anak orang itu 😅😅,satttt roasting terkasian woy anak orang itu,neutral
Ini doang kontennya ?,ini doang kontennya,negative
Logikanya kalo pak jokowi dalam menjalankan tugas sebagai presiden di mata masyarakat jelek atau nggak baik nggak mungkin pak Prabowo dan mas Gibran terpilih jadi presiden dan wakil presiden satu putaran lagi.. cuma orang2 yang nggak suka selalu mencari celah salah pak jokowi,logikanya kalo pak jokowi dalam menjalankan tugas sebagai presiden di mata masyarakat jelek atau nggak baik nggak mungkin pak prabowo dan mas gibran terpilih jadi presiden dan wakil presiden satu putaran lagi cuma orang yang nggak suka selalu mencari celah salah pak jokowi,negative
18 menit ngakak mulu wkwkwkwk,menit ngakak mulu wkwkwkwk,positive
Anak Abah pasti pada keluar dari goa ni,anak abah pasti pada keluar dari goa ni,negative
Kenapa ga nanya fufufafa,kenapa ga nanya fufufafa,negative
"di indo doang, wakil presiden di cengin😂",di indo doang wakil presiden di cengin,negative
"Nah mending gini lah, didepan orangnya langsung, jadi ga menimbulkan polemik.. Cuma gw salut sama Gibran, bijak bgt nanggapinya",nah mending gini lah didepan orangnya langsung jadi ga menimbulkan polemik cuma gw salut sama gibran bijak bgt nanggapinya,positive
",",,ERROR
"Pak Gibran dlm hatinya pasti pngen bilang ""bngst dua org ini jokesnya"" tapi ketahan jabatan 😂",pak gibran dlm hatinya pasti pngen bilang bngst dua org ini jokesnya tapi ketahan jabatan,negative
Selama gibran byk yg dukung...pesimis Indonesia emas..buzzer gibran maju klian smua😊,selama gibran byk yg dukungpesimis indonesia emasbuzzer gibran maju klian smua,positive
"Bagaimanapun,suka ga suka, dia tetap wakil presiden
Coki manggilnya 
Lo ga tau?
Hargai juga lah",bagaimanapunsuka ga suka dia tetap wakil presiden coki manggilnya lo ga tau hargai juga lah,negative
Bahaya harus dilaporkan kpk wapres mau disogok pakai kartu member makan seumur hidup😂😂😂 pasti mengharapkan proyek ratusan trilyun......,bahaya harus dilaporkan kpk wapres mau disogok pakai kartu member makan seumur hidup pasti mengharapkan proyek ratusan trilyun,negative
anjir wapres d buli,anjir wapres d buli,neutral
kebanyakan bikin konten sama orang idiot autis cacat. Ini malah ngobrol stengah jam sama orang idiot autis cacat goblok 😅😅😅😅😅,kebanyakan bikin konten sama orang idiot autis cacat ini malah ngobrol stengah jam sama orang idiot autis cacat goblok,negative
Anjirrrr😁😁😁😁,anjirrrr,negative
"pasti nanti dsri sekian yang nonton ada aja yang mikir “ kenapa wapres malah dateng ke kegiatan begini, bukannya ngurusin dateng pas bencana atau isu isu pemerintah” pastiiiii yakin 100% ada yang mikir gitu masyarakat 😂",pasti nanti dsri sekian yang nonton ada aja yang mikir kenapa wapres malah dateng ke kegiatan begini bukannya ngurusin dateng pas bencana atau isu isu pemerintah pastiiiii yakin ada yang mikir gitu masyarakat,negative
"Klw gw jd panji malu bngt sampe ubun""",klw gw jd panji malu bngt sampe ubun,negative
Om coki nahan diri,om coki nahan diri,negative
kalian ber 2 sih ajg ya awkoakwokaow,kalian ber sih ajg ya awkoakwokaow,negative
Bangkitlah FuFuFaFa,bangkitlah fufufafa,positive
"Dia tau bahwa segala sesuatu yg d selesaikan dgn emosi tidak akan berakhir baik, mantap mas wapres",dia tau bahwa segala sesuatu yg d selesaikan dgn emosi tidak akan berakhir baik mantap mas wapres,positive
Gini amat yaaa wapres kita 😂,gini amat yaaa wapres kita,negative
Bocah kontoooolllll...,bocah kontoooolllll,negative
Adu tahan tawa dong Gibran vs coki anwar,adu tahan tawa dong gibran vs coki anwar,neutral
"LU ITU WAPRES, GAPENTING BGT GINI2AN OON BANGET",lu itu wapres gapenting bgt ginian oon banget,negative
Pada ngantri jabatan komisaris nihh..🤭,pada ngantri jabatan komisaris nihh,neutral
ane lg makan langsung muncrat gara2 ada nama roy suryo 😁,ane lg makan langsung muncrat gara ada nama roy suryo,negative
4:22 buajingannnn😂😂😂😂😂🦅🦅🦅🦅,buajingannnn,negative
2 orang pemberani dan 1 penerus bangsa 🗿,orang pemberani dan penerus bangsa,positive
"sangat tidak punya integritas, najis.",sangat tidak punya integritas najis,negative
"Kapan lagi ""lo"" in wapres ya cok ?",kapan lagi lo in wapres ya cok,negative
"Panji & Komika lain dapet cuan dari mens rea, Gibran dapet eksposure dari panji. Buzzerp juga dapet cuan dari kasus panji.  Lah netizen cuman dapet dosa karna terusan ngebully ciptaan tuhan",panji komika lain dapet cuan dari mens rea gibran dapet eksposure dari panji buzzerp juga dapet cuan dari kasus panji lah netizen cuman dapet dosa karna terusan ngebully ciptaan tuhan,negative
"Masalah mbg mas gibran, gaji supir MBG umr sedangkan gaji guru honorer 500 rbu bahkan ada yg d bawah itu gimana tu mas gibran?",masalah mbg mas gibran gaji supir mbg umr sedangkan gaji guru honorer rbu bahkan ada yg d bawah itu gimana tu mas gibran,negative
Pria solo itu lag,pria solo itu lag,neutral
Muslim coki emang cuakkkkkssss... Kritik nge jokesnya gila parah,muslim coki emang cuakkkkkssss kritik nge jokesnya gila parah,negative
"bebek carok emang enak banget,,,,,",bebek carok emang enak banget,positive
Kocak pak wapres 😂😂,kocak pak wapres,negative
Ajak ke konten kesenjangan sosial harusnya😂,ajak ke konten kesenjangan sosial harusnya,negative
Durasinya Kurang Panjang Slim😂,durasinya kurang panjang slim,negative
"wkakakakak gw yakin bgt coki pas bilang asli asli, tretan udah deg degan .. wkakakakakaak tkut bokapnya d bawa2 wkakakakakkaak",wkakakakak gw yakin bgt coki pas bilang asli asli tretan udah deg degan wkakakakakaak tkut bokapnya d bawa wkakakakakkaak,negative
Wibawa orang terpenting di indonesia kedua hancur. wakil presiden begini amat ya. Kayak gk ada sibuk2nya,wibawa orang terpenting di indonesia kedua hancur wakil presiden begini amat ya kayak gk ada sibuknya,negative
"Kok Crew Gak Ada Yang Ngakak, Lucu Lhoooo iniiiii.",kok crew gak ada yang ngakak lucu lhoooo iniiiii,negative
bjirrr omongan template itu tayang lagi,bjirrr omongan template itu tayang lagi,negative
gibran reting kanan belok kiri banget auranya disini 😂,gibran reting kanan belok kiri banget auranya disini,positive
GOKIL😂😂,gokil,positive
KENAPA NGGA DI TANYA SOAL FUFUFAFA SATTTT🙂,kenapa ngga di tanya soal fufufafa satttt,negative
Ciyee mau buktiin bos nya ga baperan...😂,ciyee mau buktiin bos nya ga baperan,negative
Awas mas gratifikasi membernya,awas mas gratifikasi membernya,negative
dari lahir pelanga pelongo,dari lahir pelanga pelongo,neutral
Ini yg ngantuk itu ya?,ini yg ngantuk itu ya,negative
"Saking random nya, orang meeting dikomentarin 😂",saking random nya orang meeting dikomentarin,negative
yak terpantau buzzerp organik sedang memuji2 respect dan semangat😂👍🏻,yak terpantau buzzerp organik sedang memuji respect dan semangat,positive
Coki manggil nya Lo gue Lo gue njirr ngeri😂,coki manggil nya lo gue lo gue njirr ngeri,negative
😂😂😂,,ERROR
Olah terus bang coki,olah terus bang coki,negative
"immick gini kalo kerjanya bener mah oke2 aja, lah ini 🤣🤣🤣🤣🤣🤣🤣",immick gini kalo kerjanya bener mah oke aja lah ini,negative
Goks si dua pria terkemuka bisa berbicara dengan bos besar muda 😁🔥🔥🔥,goks si dua pria terkemuka bisa berbicara dengan bos besar muda,neutral
"tolong bbang sampein terkait MBG itu mmasalahnya bukan meratanya tapi akhir akhir ini menunnya makin aneh, padahal lokasi ga jauh dari ibu kota tapi menunya kadang mie sama kripik tempe, buahnya salah. kadang keentang mentah. dimana anak anak pada kurang doyan juga",tolong bbang sampein terkait mbg itu mmasalahnya bukan meratanya tapi akhir akhir ini menunnya makin aneh padahal lokasi ga jauh dari ibu kota tapi menunya kadang mie sama kripik tempe buahnya salah kadang keentang mentah dimana anak anak pada kurang doyan juga,negative
Ga nanggapi konteks sama sekali wkwk,ga nanggapi konteks sama sekali wkwk,negative
"Roasting via mens rea ❌️
Roasting depan manusianya ✅️
Ajg bener duo musmas ini😂😂😂😂",roasting via mens rea roasting depan manusianya ajg bener duo musmas ini,positive
4:20 Tretan anj😂😂😂,tretan anj,neutral
Tapi dia gak marah ya,tapi dia gak marah ya,positive
"Lepaskan itu semua gibran, kami tau anda sedang menahan jokes untuk diungkapkan",lepaskan itu semua gibran kami tau anda sedang menahan jokes untuk diungkapkan,negative
Mutan baru kah ?,mutan baru kah,negative
Mau tau tanggapan pak gibran tentang fufufafa pls,mau tau tanggapan pak gibran tentang fufufafa pls,neutral
Njir kocak ini😂😂😂😂,njir kocak ini,positive
Ini yang gue tungguuuu😂😂😂😂,ini yang gue tungguuuu,negative
Dah ponakan gua salah satunya pemasok PVC di pembangunan IKN🕺,dah ponakan gua salah satunya pemasok pvc di pembangunan ikn,neutral
Yang melaporkan bang pandji goblok ..mangan pkc PMII jakarta.. goblok sekali PMII,yang melaporkan bang pandji goblok mangan pkc pmii jakarta goblok sekali pmii,negative
Kurang lama durasinya?,kurang lama durasinya,negative
"Walaupun saya gak pilih anda saat pilpres tapi anda mas gibran adalah wapres paling keren dari semua wapres indonesia, sangat santai menyikapi kritik lewat comedy yg merendahkan dirinya. Keren sampeyan mas wapres 🙏",walaupun saya gak pilih anda saat pilpres tapi anda mas gibran adalah wapres paling keren dari semua wapres indonesia sangat santai menyikapi kritik lewat comedy yg merendahkan dirinya keren sampeyan mas wapres,positive
"Salut buat bg muslim dan bang coki 
Panji koar2 kesel karna susah datengin pak wapres
Ini malah langsung datengin wapres bg muslim sama bg cokinya
Respect aku
Aku yakin dlm hati panji sekarang ngumpat2 karna kalian bisa datengin pak wapres😅",salut buat bg muslim dan bang coki panji koar kesel karna susah datengin pak wapres ini malah langsung datengin wapres bg muslim sama bg cokinya respect aku aku yakin dlm hati panji sekarang ngumpat karna kalian bisa datengin pak wapres,positive
Wahai pria solo alangkah jantannya anda kalo berani datang ke skakmat pandji😊,wahai pria solo alangkah jantannya anda kalo berani datang ke skakmat pandji,neutral
"Saya mengakui keluarga ini bener-bener menerapkan filosofi jawa "" dipangku mati "" rasa sakit hatinya di balut dengan tenang sehingga yang membuat di sakit hati merasa tidak enak dan malu sendiri, akhirnya dia dapat simpati banyak orang,,, tp ini konten lucu bgt, tretan dan om coki memang handal",saya mengakui keluarga ini benerbener menerapkan filosofi jawa dipangku mati rasa sakit hatinya di balut dengan tenang sehingga yang membuat di sakit hati merasa tidak enak dan malu sendiri akhirnya dia dapat simpati banyak orang tp ini konten lucu bgt tretan dan om coki memang handal,positive
"Tanya bang, kalau saya comen Gibran anjing boleh ga ??",tanya bang kalau saya comen gibran anjing boleh ga,neutral
Di flashdisk polisi kata si bangsat😂,di flashdisk polisi kata si bangsat,negative
"Sat, di Bebek Carok",sat di bebek carok,neutral
"Ini orang di berita ga jelas kasih info, di podcast jurang gini malah beres jelasinnya cok, anomali emang 😂",ini orang di berita ga jelas kasih info di podcast jurang gini malah beres jelasinnya cok anomali emang,negative
1:26 Roasting Raja Terakhir SATTTTT!!!!!!!!,roasting raja terakhir sattttt,neutral
Baru tau stand up termul ternyata ada yah,baru tau stand up termul ternyata ada yah,neutral
"The next mut??? , mutakhir alias AI maksudnya 😅",the next mut mutakhir alias ai maksudnya,neutral
"dipantau owner, 1 influencer besar, wapres, dan beberapa paspampres. saya sangat paham bagaimana pressure yang dialami mas bagas wkwkwk",dipantau owner influencer besar wapres dan beberapa paspampres saya sangat paham bagaimana pressure yang dialami mas bagas wkwkwk,positive
UDAH GILAK HAHAHA,udah gilak hahaha,negative
Ilmu tinggi kali kau gibran wak,ilmu tinggi kali kau gibran wak,positive
Mana jokes pinggir jurangnya hey.. apakah antum antum ngejokes di todong AK 47…😂,mana jokes pinggir jurangnya hey apakah antum antum ngejokes di todong ak,negative
Mutan baru kah...,mutan baru kah,negative
"tanya dong bang
itu jadwal ama tedy gantian ngga",tanya dong bang itu jadwal ama tedy gantian ngga,neutral
Anjir ngomongin sawit co,anjir ngomongin sawit co,negative
"IKN mangkrak, food estate gagal, tapi sekarang katanya fokus percepat pembangunan di papua. HAH...",ikn mangkrak food estate gagal tapi sekarang katanya fokus percepat pembangunan di papua hah,negative
"Kesalahan Gibran adalah dia dipaksa untuk jadi wapres sebelum waktunya. Kalau dia mengikuti jenjang karir seperti bapak nya, mungkin akan lebih baik.
Tapi apa mau di kata, dia harus jadi wapres agar Prabowo bisa jadi Presiden",kesalahan gibran adalah dia dipaksa untuk jadi wapres sebelum waktunya kalau dia mengikuti jenjang karir seperti bapak nya mungkin akan lebih baik tapi apa mau di kata dia harus jadi wapres agar prabowo bisa jadi presiden,negative
"Ini bukan s3 marketing lg sh.. edaaaaan bener dah, wapres bisa di bawa ke bebek carok!! RESPECT…!!! 🫡",ini bukan s marketing lg sh edaaaaan bener dah wapres bisa di bawa ke bebek carok respect,negative
Buat trio aja udah,buat trio aja udah,neutral
FUFUFAFA aktif lagi nih yeeeee,fufufafa aktif lagi nih yeeeee,positive
"""pengirimannya..delivery nya..."" Chaaakkkzzz sama aja beda tulisan",pengirimannyadelivery nya chaaakkkzzz sama aja beda tulisan,negative
"Santai...
Tapi dibelakang ternaknya disuruh hajar😅😅😅",santai tapi dibelakang ternaknya disuruh hajar,negative
Coba masukin ke club mutan 😂,coba masukin ke club mutan,neutral
ANJIR KU KIRA AI NJIR DI IG WKWKKW,anjir ku kira ai njir di ig wkwkkw,negative
Fufufafa,fufufafa,positive
biar digimanain juga dipodcasin dibikinin akun yutub emang wapres konoha udah ga ada isinya,biar digimanain juga dipodcasin dibikinin akun yutub emang wapres konoha udah ga ada isinya,negative
"Teretan banget, coki bangke😂 , (kata saya) gila bener nyerempet² nya",teretan banget coki bangke kata saya gila bener nyerempet nya,negative
12:42,,ERROR
"saya dlu suka sm masgib, dan jujur ngedukung beliau jadi pemimpin muda di suatu daerah.  tapi ken berbagai macam hal, kayanya saya ntar dlu deh hehe. sehat2 masgib, semoga bisa membawa banyak kebaikan. jangan ditambah2in kalo ada yg buruk",saya dlu suka sm masgib dan jujur ngedukung beliau jadi pemimpin muda di suatu daerah tapi ken berbagai macam hal kayanya saya ntar dlu deh hehe sehat masgib semoga bisa membawa banyak kebaikan jangan ditambahin kalo ada yg buruk,positive
"Next episode datangkan bapaknyaaa, pasti lebih asik.",next episode datangkan bapaknyaaa pasti lebih asik,positive
Respect mas wapres,respect mas wapres,neutral
Heran orang yang berakal dukung otang TOLOL !!!!,heran orang yang berakal dukung otang tolol,negative
"Pertanyaan paling susah di jawab. Dan jujur, kok si tretan kepikiran roy suryo vs panji lucuan mana 😂😂
Mas wapres kok kepikiran Counter attack ada sertifikat halalnya
🤣",pertanyaan paling susah di jawab dan jujur kok si tretan kepikiran roy suryo vs panji lucuan mana mas wapres kok kepikiran counter attack ada sertifikat halalnya,negative
Berati coki & muslim setara kick andy dan najwa,berati coki muslim setara kick andy dan najwa,neutral
Stop detik ke 8. Sebenarnya ini adl jawaban mens rea. Tentu saja coki muslim ada di kubu Pak Gib,stop detik ke sebenarnya ini adl jawaban mens rea tentu saja coki muslim ada di kubu pak gib,negative
11:51 pa mbg saya ikan mulu,pa mbg saya ikan mulu,positive
Mana Bagas,mana bagas,positive
"coki, tahan cokiii. tahaaan woawkawokwokwoawko",coki tahan cokiii tahaaan woawkawokwokwoawko,negative
pria solo itu lagi...,pria solo itu lagi,negative
Uji nyali 😂😂,uji nyali,positive
ini konten AI taa cakkk😅,ini konten ai taa cakkk,negative
"emang harus kreatif jadi buzzer jaman sekarang, dan memang menghibur",emang harus kreatif jadi buzzer jaman sekarang dan memang menghibur,positive
Anak solo itu lagi,anak solo itu lagi,negative
"APAPUN YANG DI LAKUKAN MAS WAPRES AKAN SELALU SALAH DI MATA PENIS:PENDUKUNG A NICE 😂
APALAGI DI MATA TIRORIS  DAN PENYEPONG NYA 😂",apapun yang di lakukan mas wapres akan selalu salah di mata penispendukung a nice apalagi di mata tiroris dan penyepong nya,negative
ah mungkin perasaanku saja...,ah mungkin perasaanku saja,negative
AI ga sih yg di tengah?,ai ga sih yg di tengah,negative
se gak sibuk itukah wapres. masih sempet podcast njirrrr. kerjaan idaman gen z,se gak sibuk itukah wapres masih sempet podcast njirrrr kerjaan idaman gen z,positive
Dude!!!!Jokes apa ini dawg💀,dudejokes apa ini dawg,negative
Ketawanya ditahan banget bang coki 😅,ketawanya ditahan banget bang coki,negative
"jadi ingat martabak ""markobar""",jadi ingat martabak markobar,neutral
Jirr baru ini wapres d becandain 😅😂😅😂 lucu bngt,jirr baru ini wapres d becandain lucu bngt,neutral
Topik fufufafa gak dibahas ?? Blokk,topik fufufafa gak dibahas blokk,negative
Penggiringan opini....,penggiringan opini,positive
Paspampres siaga 1 😅,paspampres siaga,neutral
What Surakarta man😮,what surakarta man,neutral
"ini kami yang nonton kira² aman ga bang? 
kok ikutan takut... lama² gua jual juga ni hp😮",ini kami yang nonton kira aman ga bang kok ikutan takut lama gua jual juga ni hp,negative
gibran mending jadi komika aja deh 😭😭,gibran mending jadi komika aja deh,negative
Woeeee dimana MBG yg pake sirip hiu??? Ahli gizinya gimana 😂😂😂😂😂,woeeee dimana mbg yg pake sirip hiu ahli gizinya gimana,negative
seseorang sedang menurunkan sesuatu yg udh turun,seseorang sedang menurunkan sesuatu yg udh turun,neutral
Panii itu gblk mksa ngelawak pdhl otak seupil jdinya mlah ngolok2 ngehina org komedi otak rendah,panii itu gblk mksa ngelawak pdhl otak seupil jdinya mlah ngolok ngehina org komedi otak rendah,negative
SAMPAH,sampah,negative
Perasaan gw ga enak… ternyata mereka yg minta di tampilkan ada bebek yg digantung ?? 😱😱,perasaan gw ga enak ternyata mereka yg minta di tampilkan ada bebek yg digantung,negative
Jokesnya pedassss anjirrr😂,jokesnya pedassss anjirrr,positive
Sumpah sumpah ini asik bnget,sumpah sumpah ini asik bnget,positive
Mau dipoles sehalus apapun gua gabakal lupa kalian bagian dari pemerintah,mau dipoles sehalus apapun gua gabakal lupa kalian bagian dari pemerintah,positive
Cair,cair,negative
Santai banget anjir wkwkwk..kek temen nongkrong ya,santai banget anjir wkwkwkkek temen nongkrong ya,positive
gibran❤,gibran,positive
Gibran sabar banget yaa luar biasa ❤,gibran sabar banget yaa luar biasa,positive
"Saya hitung Gibran ngomong ""SANTAI"" 581 kali",saya hitung gibran ngomong santai kali,neutral
Gua yang ngilu cokk aslii 😂😂,gua yang ngilu cokk aslii,negative
"Ketika tretan diem,ak nunggu jokes yg menohok....",ketika tretan diemak nunggu jokes yg menohok,negative
Blok.! Promo jalur wapres,blok promo jalur wapres,neutral
anjirrr... bisaaan ngundang nara sumber paling VALID WKWKWKWKWK,anjirrr bisaaan ngundang nara sumber paling valid wkwkwkwkwk,positive
kirain thumbnail doang njir ,kirain thumbnail doang njir,negative
Waduh yg mengatasnamakan membela pak gibran sih kocak wkwk orangnya selow2 aja,waduh yg mengatasnamakan membela pak gibran sih kocak wkwk orangnya selow aja,negative
Loh.. Fufu fafa,loh fufu fafa,neutral
Recal recal di depan atmint loh ya,recal recal di depan atmint loh ya,neutral
Bg tretan dan mas cok ke logika frimawan juga keren kek nya ni mas wapres 😅😅,bg tretan dan mas cok ke logika frimawan juga keren kek nya ni mas wapres,positive
"Keren mas Gibran, dibalas dengan santai dan ga baperan 😂
Semangatt mas Gibran 👍",keren mas gibran dibalas dengan santai dan ga baperan semangatt mas gibran,positive
"Babi babi mau aja lagi coleb sama org berdua ini, gmna ya kesannya wakil presiden loh ini di Ceng cengin gila gila, mau aja lagi Gibran nya",babi babi mau aja lagi coleb sama org berdua ini gmna ya kesannya wakil presiden loh ini di ceng cengin gila gila mau aja lagi gibran nya,negative
"Gibran ini sebenarnya asik2 aja, asal ga jadi pejabat karena bukan kapasitasnya",gibran ini sebenarnya asik aja asal ga jadi pejabat karena bukan kapasitasnya,negative
Baru kali ini konten Tahan Sabar rada anu. Tanya soal Fufufafa harusnya 🤭,baru kali ini konten tahan sabar rada anu tanya soal fufufafa harusnya,neutral
"18 menit jawabanya cmn “santai” “aman” + pertanyaannya tidak mewakili banyak pengangguran yg sedang menunggu 19jt lapangan pekerjaan, fix ini mah sales coyyy",menit jawabanya cmn santai aman pertanyaannya tidak mewakili banyak pengangguran yg sedang menunggu jt lapangan pekerjaan fix ini mah sales coyyy,negative
Ini masih receh dan settingan coba dong roasting Gibran dengan dilihat 10 RB penonton dan yg roasting pandji.. mentalnya pasti down,ini masih receh dan settingan coba dong roasting gibran dengan dilihat rb penonton dan yg roasting pandji mentalnya pasti down,negative
bu Irma Chaniago menangis melihat mereka.😂😂,bu irma chaniago menangis melihat mereka,negative
Respect Pak Wapres. 😁,respect pak wapres,neutral
"Yuk buzer sebelah ngumpul, biar pada panas kupingnya haaa😂😂😂",yuk buzer sebelah ngumpul biar pada panas kupingnya haaa,neutral
Emang kurang kerjaan ya dia.. Wkwkwwkk,emang kurang kerjaan ya dia wkwkwwkk,negative
WKWWKKWKWKW,wkwwkkwkwkw,positive
Ini pasti AI..... Chaaaaaakkks...,ini pasti ai chaaaaaakkks,negative
Ngakak,ngakak,negative
Abang Coki nyomot Tahunya mas gibran biar kalo ada racun dia yang kena duluan.,abang coki nyomot tahunya mas gibran biar kalo ada racun dia yang kena duluan,negative
"Yang kemarin bilang wapres kita plonga plongo mana nih? Liat tuh cair bgt ngobrol nya, lancar bgt, makanya jgn kasih topik yg berat2.",yang kemarin bilang wapres kita plonga plongo mana nih liat tuh cair bgt ngobrol nya lancar bgt makanya jgn kasih topik yg berat,positive
"Pak gibran memang dari dulu penikmat joke nya pandji , btt",pak gibran memang dari dulu penikmat joke nya pandji btt,positive
udah kampanye lagi aje 😂😂😂,udah kampanye lagi aje,negative
Jokes tepi jurang ❌ jokes dalem jurang ✅,jokes tepi jurang jokes dalem jurang,negative
"wow ini,,, nyimak",wow ini nyimak,positive
Cair cair caiiiir perpanjangan kontrak 😍,cair cair caiiiir perpanjangan kontrak,neutral
Ini benerrr??????,ini benerrr,negative
jir kupikir AI😭😭😭,jir kupikir ai,negative
"Coki muslim the real pembela 😂. Mas gibran top banget sih emang, gak salah doi jadi wapres ❤",coki muslim the real pembela mas gibran top banget sih emang gak salah doi jadi wapres,positive
Pria Oslo (lain) itu lagi 💀,pria oslo lain itu lagi,negative
Langsung ngudang admin 😭,langsung ngudang admin,neutral
Bukan dibercandain..lebih ke dihina,bukan dibercandainlebih ke dihina,negative
Masih ada gestur atasan ama bawahan dialognya payah wkwk,masih ada gestur atasan ama bawahan dialognya payah wkwk,negative
Baru kali ini RI2 (Wapres) di undang hanya untuk membahas komedi dan pembahasan receh bukan tentang ide☠️,baru kali ini ri wapres di undang hanya untuk membahas komedi dan pembahasan receh bukan tentang ide,neutral
Senyum Tipis nya Ngeselin Ya  🤣,senyum tipis nya ngeselin ya,negative
"BENAR KATA CING ABDEL:  
""JOKOWI KELEWATAN""
 ANAK DIWARISI JABATAN, 
RAKYAT DIWARISI HUTANG 😂😂",benar kata cing abdel jokowi kelewatan anak diwarisi jabatan rakyat diwarisi hutang,negative
Gak jilat gak makan ya?,gak jilat gak makan ya,negative
Kontol dikasih panggung. Demi elektabilitas. Demi kroni. Demi 2029. Dua komika kontol ini tak sadar dia adalah korban dengan segala konsekuensi politik ke depan.,kontol dikasih panggung demi elektabilitas demi kroni demi dua komika kontol ini tak sadar dia adalah korban dengan segala konsekuensi politik ke depan,negative
Ke tretan dateng. Coba dateng ke channelnya panji dong. Biar bener dapet ngobrol dan saling kritik. Biar masukannya panji bisa diadopsi.,ke tretan dateng coba dateng ke channelnya panji dong biar bener dapet ngobrol dan saling kritik biar masukannya panji bisa diadopsi,positive
JOKOWI KUALAT KARENA MENGHALALKAN SEGALA CARA DEMI ANAKNYA BERKUASA 😡😡,jokowi kualat karena menghalalkan segala cara demi anaknya berkuasa,negative
Bruh gua nonton ini sampe lupa klo gibran tuh seorang wapres akwkwk,bruh gua nonton ini sampe lupa klo gibran tuh seorang wapres akwkwk,negative
entah apa amalan orang tua muslim sehingga bisa membanggakan keluarganya di kampung karena circlenya RI 2 😂,entah apa amalan orang tua muslim sehingga bisa membanggakan keluarganya di kampung karena circlenya ri,positive
"Para seniman meme , kami tunggu sticker dari kalian🗿",para seniman meme kami tunggu sticker dari kalian,neutral
"Woi.... Wapress,, gak punya kerjaan,, ikut podcast. Blokssss!!!!!!!!",woi wapress gak punya kerjaan ikut podcast blokssss,negative
"Wah memang bgst coki muslim sih, karna dr dlu jg udh hubungan sih jd bisa ngundang dia lg walau udh jdi WAKIL PRESIDEN WKWKKWKWKWKW 😭🤣",wah memang bgst coki muslim sih karna dr dlu jg udh hubungan sih jd bisa ngundang dia lg walau udh jdi wakil presiden wkwkkwkwkwkw,positive
Big respect tuk mas wapres,big respect tuk mas wapres,neutral
Bro 💀 rikol rikol di depan final bos,bro rikol rikol di depan final bos,neutral
"Ini beneran gak sih, 
apa Ai? 
Serius naya😂😂",ini beneran gak sih apa ai serius naya,negative
"Ini hebatnya keluarga pak Jokowi, taktik nya sulit ditebak, main nya slow tapi nendang 😅👌gw respect dan tanpa berpihak siapaun.",ini hebatnya keluarga pak jokowi taktik nya sulit ditebak main nya slow tapi nendang gw respect dan tanpa berpihak siapaun,positive
Itu makanan dan minuman sudah di cobain Paspampres ya Netijen...,itu makanan dan minuman sudah di cobain paspampres ya netijen,neutral
Keren Gibran,keren gibran,positive
"Kesimpulannya mas gibran nerima di roasting gapapa katanya , tapi kalo untuk lupa tidak 2019- 2026 berarti melekat banget itu 😂😂😂",kesimpulannya mas gibran nerima di roasting gapapa katanya tapi kalo untuk lupa tidak berarti melekat banget itu,negative
"mana sertifikat halal tolong di perlihatkan ke camera, wkwk kenak bangat",mana sertifikat halal tolong di perlihatkan ke camera wkwk kenak bangat,neutral
